frame,id,real_world_x,real_world_y,width,height
215,6,3.0808501551917056,-5.041464827687711,187.9837646484375,122.03779792785645
217,6,2.5433361266764996,-4.0639052747161495,262.6460266113281,135.82531356811523
218,6,2.160616827231512,-3.5904445701931476,295.6783218383789,145.34232330322266
219,6,1.8541691763727677,-3.1301028550334324,327.3354721069336,152.0368595123291
222,6,2.2128798821524405,-2.125629179505675,379.71144104003906,136.4853687286377
245,6,2.208470510537131,6.106428816940349,187.63687133789062,102.91757011413574
246,6,2.2312554249449565,6.465080973858419,185.36370849609375,101.4089241027832
252,6,2.246103144685916,8.41421192759702,167.61483764648438,92.00145149230957
256,6,2.198118884473348,9.844649814617084,167.18472290039062,92.05876922607422
262,6,2.1892107809269317,11.869395927786378,161.36709594726562,87.53556060791016
270,6,2.371549068753073,14.548828079953157,153.23492431640625,78.94863796234131
273,6,2.392214790530835,15.495559577680035,152.43017578125,75.40940952301025
274,6,2.3257918060022447,15.750676706500908,150.621826171875,75.37938594818115
275,6,2.2977200400451285,16.04285748468544,149.79171752929688,74.3034553527832
289,6,2.146967092631846,19.939320104696257,138.83990478515625,70.62126731872559
294,6,2.1844078143902443,21.411113044707978,139.70755004882812,72.16748142242432
298,6,2.131297265228615,22.46671691940887,137.7901611328125,70.09150314331055
313,6,2.2583132627596703,26.422654487297333,129.31695556640625,60.518205642700195
317,6,2.1749229878937046,27.012908443509037,127.67559814453125,63.87492370605469
318,6,2.1667252684591713,27.303136147819696,128.4517822265625,65.14206790924072
321,6,2.280959672078362,28.06475259266573,124.10540771484375,61.43588161468506
322,6,2.316362628377817,28.35003290654158,123.125244140625,60.9045467376709
325,6,2.438618200088951,29.13327056706981,117.459228515625,57.87296390533447
334,6,2.348300741741662,30.033623658304993,99.8499755859375,56.831228256225586
342,6,2.7450318849086166,31.12853932048237,86.60357666015625,52.51167011260986
348,6,3.24928967146082,31.78406465670883,61.3004150390625,48.489824295043945
