frame,id,real_world_x,real_world_y,width,real_width,speed_kmh,distance_m
10,2,-18.755108183552444,3.297995465688613,43.19928359985352,0.9602651517184216,0.0,0.0
11,2,-18.2537232927022,3.0329256921781576,53.20886993408203,1.151959051949227,0.0,0.5671408939600409
12,2,-17.835060338270143,2.8339819425548285,65.1763687133789,1.3764473367921213,0.0,1.0306678995680953
13,2,-17.436126901193465,2.636905474889365,79.4644660949707,1.641967973910158,0.0,1.4756252248536879
14,2,-17.208774312086508,2.559842269561395,92.64263534545898,1.898590532266129,0.0,1.715683420691817
15,2,-17.004672469710364,2.489126390941233,103.53540802001952,2.0893598460398524,0.0,1.9316887390299489
16,2,-16.89486283479953,2.4897344597406867,115.18772506713869,2.309572062584097,11.85962239613496,2.04150005751268
17,2,-16.81802279788794,2.5172413425853657,127.13200378417967,2.5410734402598165,8.814427709068124,2.1231151288929406
18,2,-16.66966758880515,2.4838356228642198,137.3924331665039,2.7259464830747206,8.814427709068124,2.2751848831903887
19,2,-16.5213796561509,2.4591719440334208,148.7318458557129,2.9235238974941318,8.814427709068124,2.4255098911709
20,2,-16.552911248298887,2.5499847362403303,158.70907974243164,3.106597569356935,10.382167868944496,2.5216410751426084
21,2,-16.502650475962557,2.605771766595803,171.75785064697266,3.3340311926780344,8.109597667918033,2.5967299424381456
22,2,-16.488803456637356,2.658622554120269,180.60106658935547,3.49305972876907,5.900542897330624,2.6513645988949106
23,2,-16.49536829867096,2.7407752169576063,191.35020446777344,3.7124997705679017,8.900770817170859,2.7337791434983445
24,2,-16.457325179437497,2.797484565540651,202.89614868164065,3.959515104209931,7.375086756264132,2.8020669838341234
25,2,-16.4256084306505,2.8479984694831733,212.9210357666016,4.162126199840805,6.441732989562552,2.8617126596634064
26,2,-16.471814709343715,2.9381216022916683,220.45660400390625,4.310338049883562,10.938005857744876,2.9629904916795624
27,2,-16.663374652256405,3.157117600491409,230.6910781860352,4.481100558480941,10.938005857744876,3.253944884937705
28,2,-16.971675773538333,3.4724363164572467,242.0433654785156,4.684357878773052,10.938005857744876,3.6949386196120644
29,2,-16.557264659562072,3.2579101994437027,253.8385162353516,4.874334631558425,10.938005857744876,4.161584123466922
30,2,-16.122811055637065,2.998203441701043,262.0679626464844,5.014480314889321,10.938005857744876,4.667743716856825
31,2,-17.664933921217102,4.211514702610326,268.8355865478516,5.134714345616075,10.938005857744876,6.6299534784251595
