frame,id,real_world_x,real_world_y,width,real_width
1,1,28.07718671497225,13.5047768356443,231.0,5.370520820944672
2,1,27.82400423246935,13.34573010635315,230.99295043945312,5.368527122862449
3,1,27.54930013667664,13.17389188060791,230.97262573242188,5.3157103511542285
4,1,27.497023626829698,13.1405329373384,230.977294921875,5.302867684614244
5,1,27.537580038070736,13.164233451005664,231.00778198242188,5.305980620702122
6,1,27.592355444145003,13.195886689090802,231.05007934570312,5.312350058878228
7,1,27.793641228221816,13.321787309399532,231.0640869140625,5.358453214093329
8,1,28.00612250027808,13.456958417239377,231.04339599609375,5.369565942625494
9,1,27.83660417008683,13.353284847256848,230.997802734375,5.366095320890217
10,1,27.569314419396292,13.187370879063332,230.9600830078125,5.318892664336792
11,1,27.497765039027655,13.143046521034698,230.94589233398438,5.3045934489326765
12,1,27.502502335751316,13.169334013144164,232.98788452148438,5.355510188208596
13,1,27.761686212727923,13.313459446563076,231.79129028320312,5.3742782093914325
14,1,27.86026645638262,13.367880699723315,231.33206176757812,5.381278269360384
15,1,28.03268708525476,13.47507294495459,231.135498046875,5.378377668161977
16,1,27.85024616374343,13.362633998853372,231.01199340820312,5.369026878433612
17,1,27.580855676972895,13.194980067668086,230.94351196289062,5.320543900845856
18,1,27.500384062932298,13.14467870018609,230.92959594726562,5.3048645688782035
19,1,27.53214304396458,13.162642311290302,230.95660400390625,5.306363970311157
20,1,27.766127914396932,13.307354779828042,231.00567626953125,5.354223907822891
21,1,28.05079790495819,13.484613058596477,231.0238037109375,5.3744807981705485
22,1,28.078020214753614,13.527743185367088,229.04681396484375,5.332839308239903
23,1,28.05227640267044,13.4979848230581,230.25576782226562,5.353123144534646
24,1,27.82741182933174,13.353198400562322,230.68661499023438,5.356432091959783
25,1,27.58507643199234,13.199204991721162,230.85076904296875,5.317910156612847
26,1,27.55734018693259,13.17908449888219,230.939208984375,5.310999552681245
27,1,27.775090319971397,13.312762911647203,231.01364135742188,5.356343178002915
28,1,28.044427537553542,13.480268072749633,231.059326171875,5.374643768468818
29,1,28.108509287350657,13.521152901917965,231.05374145507812,5.377146884918995
30,1,28.066636081489634,13.49702819588489,231.01675415039062,5.37020817207605
31,1,27.837998974777268,13.355870309744802,230.96987915039062,5.363422569417001
32,1,27.58516833262997,13.198187154935951,230.9483642578125,5.320027174968483
33,1,27.54484977198115,13.171175465446908,230.97665405273438,5.310290518375369
34,1,27.761402073541632,13.3044707333204,231.02618408203125,5.354988626057116
35,1,27.856084114945194,13.361981436620011,231.05850219726562,5.373740992000928
36,1,28.038818568259703,13.47695217546293,231.05877685546875,5.376925464134705
37,1,27.86187829566909,13.367861407080413,231.02334594726562,5.370137205616819
38,1,27.755755665473554,13.304272670344815,230.97372436523438,5.362627935483153
39,1,27.55208446060417,13.177413721554604,230.95303344726562,5.319266836064119
40,1,27.533219221087492,13.163785147183543,230.970703125,5.30980887918868
41,1,27.754730102170026,13.30041659515031,231.01473999023438,5.354149768252002
42,1,27.856474321923304,13.362217872219698,231.0501708984375,5.373486627827667
43,1,28.040510298208485,13.47805587700961,231.05657958984375,5.376802916578261
44,1,28.044245177885912,13.482829341659304,231.02682495117188,5.370293774189131
45,1,27.823879684561003,13.347333782624595,230.97775268554688,5.362625422482998
46,1,27.575364003645994,13.192151869554316,230.95321655273438,5.31902533304142
47,1,27.53529212262286,13.165370352717815,230.97061157226562,5.3089643525908015
48,1,27.75061815160153,13.298279973712265,231.01171875,5.353287072050212
49,1,28.031629064965134,13.473094866814526,231.04888916015625,5.372787887355536
50,1,28.111557774408997,13.522731665875774,231.05886840820312,5.377153004827278
51,1,28.077568905435857,13.503461777468786,231.02938842773438,5.371304120951253
52,1,28.01955411338663,13.470243966244626,230.978759765625,5.36365358512635
53,1,27.823145887516816,13.3480508767253,230.95175170898438,5.361116534330724
54,1,27.796848846279083,13.330410498505268,230.96612548828125,5.3657545076162565
55,1,27.84524295690637,13.358061025737612,231.00677490234375,5.37443677198951
56,1,28.065642279286077,13.494377717520619,231.0457763671875,5.380469252575636
57,1,28.12161443092396,13.52943801954818,231.05401611328125,5.379673316039015
58,1,28.084012406329677,13.507445903219576,231.02691650390625,5.372491526181377
59,1,27.842054132240385,13.358120333621931,230.98049926757812,5.363972380752612
60,1,27.752840116833905,13.303752139658895,230.95358276367188,5.360802717415218
61,1,27.588636172464444,13.199627769242523,230.964111328125,5.323043427685751
62,1,27.761109063528576,13.305584201723208,231.00302124023438,5.357452184998485
63,1,27.851394284107908,13.359896474315134,231.04083251953125,5.373739444165079
64,1,27.863443653750906,13.366895614684868,231.05218505859375,5.3774053123210255
65,1,27.811635514787152,13.335841443124618,231.02801513671875,5.372031375322319
66,1,27.715705904958,13.30339665526156,232.96746826171875,5.412954199595738
67,1,27.708229871933842,13.284960575943384,231.70550537109375,5.379349259363888
68,1,27.749575530593216,13.304450601720625,231.23391723632812,5.371496373062922
69,1,27.830289221452855,13.34876031488147,231.099609375,5.376205529567271
70,1,27.884338809275896,13.380295639127377,231.06243896484375,5.381015771213583
71,1,27.88683737586903,13.380702398144992,231.05474853515625,5.380940706314072
72,1,27.83018568289196,13.346547939720383,231.02645874023438,5.37410810582238
73,1,27.613923948475502,13.187853173461454,229.0008544921875,5.275528976452732
74,1,27.701754300507417,13.235295973297347,228.22549438476562,5.27870953762503
75,1,27.576213251668253,13.175220949844983,229.96005249023438,5.2926718347817125
76,1,27.769914036752734,13.300923339772263,230.65631103515625,5.3471490000795825
77,1,27.860267454492586,13.362134400625433,230.91513061523438,5.3704157816406655
78,1,28.05548075034325,13.486549476248676,227.0599365234375,5.326756618615461
79,1,28.665355619824673,13.69030388915154,215.59039306640625,5.133299361869593
80,1,29.043483640855328,13.859791654532449,211.26251220703125,5.095410828050386
94,1,23.670918375967247,9.639038275913643,323.114501953125,5.600308508161233
95,1,24.458422441116635,10.208861068512126,328.6101379394531,6.0019142104723215
